id,category,en_term,ko_term,ko_synonyms,abbr,definition_ko,translation_note,source
PQ-168,시간응답,Rise time,상승 시간,,,밝기가 낮음→높음으로 변하는 데 걸리는 시간.,fall time과 짝. 응답속도 구성.,IDMS Ch10
PQ-169,시간응답,Fall time,하강 시간,,,밝기가 높음→낮음으로 변하는 데 걸리는 시간.,rise time과 짝.,IDMS Ch10
PQ-170,시간응답,Jitter,지터,,,신호·타이밍의 미세한 시간적 흔들림.,음차 '지터'.,IDMS Ch10
PQ-171,시간응답,Latency,지연시간,레이턴시,,입력~반응까지의 시간 지연.,input lag(입력 지연)과 연관.,IDMS Ch10
PQ-172,시간응답,Temporal contrast sensitivity,시간 대비 민감도,,,시간적 밝기 변화에 대한 눈의 민감도.,플리커 지각과 연관.,IDMS Ch10
PQ-173,시간응답,Duty cycle,듀티비,듀티 사이클,,한 주기에서 켜진 시간의 비율.,PWM과 연관.,IDMS Ch10
PQ-174,결함·불량,Short-term image retention,단기 잔상,,,짧게 남았다 사라지는 가역적 잔상.,장기 잔상·번인과 구분.,IDMS Ch10
PQ-175,시간응답,Motion artifact,모션 아티팩트,동영상 잔상,,움직이는 영상에서 생기는 화질 저하(블러·저더 등).,,IDMS Ch12
PQ-176,시간응답,Moving-edge blur,이동 에지 블러,이동 경계 번짐,MEB,움직이는 경계가 번져 보이는 정도.,motion blur의 정량 측정.,IDMS Ch12
PQ-177,시간응답,Blurred-edge time,블러 에지 시간,,BET,이동 에지 블러를 시간으로 나타낸 지표.,MPRT 계열 지표.,IDMS Ch12
PQ-178,시간응답,Smooth pursuit,부드러운 추적,추종 안구운동,,움직이는 물체를 눈이 따라가는 운동.,모션 블러 지각의 원리.,IDMS Ch12
PQ-179,휘도/명암,Perceptual Quantizer,지각 양자화기,PQ 커브,PQ,HDR용 EOTF 곡선(SMPTE ST 2084).,약어 PQ. HLG와 대비. 'PQ 커브'.,IDMS Ch20
PQ-180,휘도/명암,Mastering display metadata,마스터링 디스플레이 메타데이터,,,HDR 콘텐츠 제작 기준 디스플레이 정보(최대/최소 휘도 등).,톤 매핑에 사용.,IDMS Ch20
PQ-181,휘도/명암,Hybrid Log-Gamma,하이브리드 로그 감마,,HLG,방송용 HDR 전달 방식(EOTF).,약어 HLG 유지. PQ와 대비.,IDMS Ch20
PQ-182,색,Color space,색공간,,,"색을 좌표로 표현하는 체계(sRGB, CIELAB 등).",,IDMS Ch21
PQ-183,색,CIELAB,시엘랩,CIE L*a*b*,,"균등에 가까운 3차원 색공간(L*, a*, b*).",표기 'CIELAB' 또는 'CIE L*a*b*'.,IDMS Ch21
PQ-184,색,Uniform color space,균등 색공간,,,지각 차이가 좌표 거리에 비례하는 색공간.,CIELAB/CIELUV.,IDMS Ch21
PQ-185,색,Color appearance model,색 외관 모델,,CAM,관측 조건을 반영해 색 지각을 예측하는 모델.,약어 CAM(CIECAM02 등).,IDMS Ch21
PQ-186,색,Chromaticity diagram,색도도,색도 다이어그램,,색도좌표를 평면에 나타낸 도표(CIE xy 등).,,IDMS Ch21
PQ-187,색,Chromatic adaptation,색순응,,,광원 변화에 눈이 적응해 백색을 일정하게 지각.,화이트밸런스의 원리.,IDMS Ch21
PQ-188,색,Lightness,명도,,L*,밝기의 지각량(CIELAB L*).,휘도(luminance)와 구분되는 지각량.,IDMS Ch21
PQ-189,색,Hue angle,색상각,,,CIELAB 등에서 색상을 각도로 나타낸 값.,,IDMS Ch21
PQ-190,색,Color difference equation,색차 공식,,,두 색의 차이를 계산하는 식(CIE76/CIEDE2000).,ΔE 계산식. 색차(PQ-016)와 연관.,IDMS Ch21
PQ-191,색,Chromaticity shift,색도 편이,,,조건에 따른 색도좌표의 변화.,색편이(color shift)의 색도 계량.,IDMS Ch21
PQ-192,규격·측정,Specular reflection,정반사,경면 반사,,입사각=반사각으로 거울처럼 반사되는 성분.,'경면 반사'. 확산 반사(diffuse)와 대비.,IDMS Ch11
PQ-193,규격·측정,Diffuse reflection,확산 반사,난반사,,여러 방향으로 흩어져 반사되는 성분.,'난반사'와 병용. 정반사와 대비.,IDMS Ch11
PQ-194,규격·측정,Reflectance factor,반사율 계수,반사 계수,,완전 확산 반사 기준 대비 반사 비율.,reflectance(반사율)와 정의 구분.,IDMS Ch11
PQ-195,규격·측정,Luminance factor,휘도 계수,,,기준 백색 대비 표면의 휘도 비율.,반사 측정 문맥.,IDMS Ch11
PQ-196,결함·불량,Haze,헤이즈,흐림,,정반사 주변으로 퍼지는 뿌연 반사 성분.,안티글레어(AG) 표면 특성. '흐림'.,IDMS Ch11
PQ-197,휘도/명암,Contrast under ambient illumination,주변광 하 명암비,앰비언트 명암비,,조명이 있는 실환경에서의 명암비.,ACR(PQ-139)과 동일 계열. 반사율에 좌우.,IDMS Ch11
PQ-198,규격·측정,Specular included / excluded,정반사 포함/제외,,SCI/SCE,측정 시 정반사 성분을 포함(SCI)/제외(SCE).,약어 SCI/SCE 유지.,IDMS Ch11
PQ-199,규격·측정,Hemispherical reflection,반구 반사,반구면 반사,,전 방향(반구)에서 조명·수광하여 측정한 반사.,specular included/excluded와 함께 규정.,IDMS Ch11
PQ-200,규격·측정,Transmittance,투과율,,,빛이 통과하는 비율.,반사율(reflectance)과 짝. 투과형 문맥.,IDMS Ch11
PQ-201,규격·측정,Transmission coefficient,투과 계수,,,입사 대비 투과되는 빛의 비율 계수.,투과율과 연관.,IDMS Ch11
PQ-202,규격·측정,Reflectance standard,반사 표준,반사 기준판,,반사 측정 교정에 쓰는 기준 반사판.,측정 캘리브레이션용.,IDMS Ch11
PQ-203,규격·측정,Native-performance mode,네이티브 성능 모드,기본 성능 모드,,모든 화질 보정을 끈 기본 상태 모드.,측정 기준 모드. modified/enhanced와 대비.,IDMS Ch02
PQ-204,규격·측정,Modified-performance mode,변경 성능 모드,보정 모드,,색·명암·선명도 등을 변경한 성능 모드.,native 모드와 대비.,IDMS Ch02
PQ-205,해상도·구조,Angular resolution,각 해상도,각도 해상도,PPD,시야 각도당 화소/사이클 수(PPD/CPD).,시청거리에 의존. 해상도(px)와 구분.,IDMS Ch02
PQ-206,해상도·구조,Pixel pitch,픽셀 피치,화소 피치,,인접 화소 중심 간 거리(µm).,화소밀도(PPI)와 연관.,IDMS Ch02
PQ-207,해상도·구조,Sharpness,선명도,샤프니스,,경계가 또렷한 정도.,보정 항목. 과하면 링잉/오버슈트 유발.,IDMS Ch02
PQ-208,해상도·구조,Cycles per degree,도당 사이클,,CPD,시야 1도당 명암 반복(선쌍) 수.,인간 시각 한계 ~60 CPD. 공간주파수의 각 표현.,IDMS Ch02
PQ-209,규격·측정,Darkroom conditions,암실 조건,다크룸 조건,,주변광을 차단한 측정 환경.,명암비·휘도 측정 기준 환경.,IDMS Ch03
PQ-210,규격·측정,Warm-up time,예열 시간,워밍업 시간,,측정 전 디스플레이를 안정화하는 시간.,통상 20~30분.,IDMS Ch03
PQ-211,규격·측정,Measurement field angle,측정 시야각,측정 개구각,,LMD가 화면에서 빛을 받는 각도(개구).,측정 스폿 크기를 결정.,IDMS Ch03
PQ-212,규격·측정,Normal direction,법선 방향,수직 방향,,화면 표면에 수직인 기준 방향(θ=0°).,시야각 측정의 기준.,IDMS Ch03
PQ-213,규격·측정,Spot photometer,스폿 광도계,스폿 포토미터,,화면의 작은 영역 휘도를 측정하는 계측기.,LMD의 한 종류.,IDMS Ch03
PQ-214,규격·측정,Array detector,어레이 디텍터,이미징 디텍터,,화면을 2차원 이미지로 측정하는 카메라형 계측기.,스폿 방식과 대비. mura/균일도 측정.,IDMS Ch03
PQ-215,해상도·구조,Stereoscopic display,입체 디스플레이,스테레오 디스플레이,,좌/우안에 다른 영상을 줘 입체감을 만드는 디스플레이.,안경식. 무안경(autostereoscopic)과 대비.,IDMS Ch17
PQ-216,해상도·구조,Autostereoscopic display,무안경 입체 디스플레이,오토스테레오,,안경 없이 입체를 보여주는 디스플레이.,다시점(multiview) 등.,IDMS Ch17
PQ-217,결함·불량,3D crosstalk,3D 크로스토크,3D 누화,,한쪽 눈 영상이 다른 눈에 새어드는 현상(3D 고스팅).,일반 크로스토크(PQ-030)의 3D 특화.,IDMS Ch17
PQ-218,휘도/명암,Stereoscopic extinction ratio,소광비,스테레오 소광비,,원치 않는 3D 채널을 차단하는 비율.,클수록 크로스토크 적음.,IDMS Ch17
PQ-219,휘도/명암,Stereoscopic contrast ratio,스테레오 명암비,3D 명암비,,3D 상태에서의 명암비(좌우안 평균).,,IDMS Ch17
PQ-220,해상도·구조,Binocular disparity,양안 시차,양안 디스패리티,,좌우안 이미지 위치 차이(깊이 지각의 근거).,parallax(시차)와 연관.,IDMS Ch17
PQ-221,해상도·구조,Depth perception,깊이 지각,입체감,,거리를 입체적으로 인지하는 것.,3D 화질 요소.,IDMS Ch17
PQ-222,해상도·구조,Multiview,다시점,멀티뷰,,여러 시점 영상을 제공하는 무안경 3D 방식.,,IDMS Ch17
PQ-223,휘도/명암,Monocular luminance,단안 휘도,,,한쪽 눈이 받는 휘도.,양안 휘도(binocular)와 대비.,IDMS Ch17
